,title,key,key_confidence,mode,mode_confidence,segments_pitches
10,b'Sweet Suffering Christ',4.0,0.242,0.0,0.293,"[[1.    1.    1.    ... 1.    1.    1.   ]
 [0.301 0.099 0.148 ... 0.097 0.062 1.   ]
 [0.365 0.047 0.079 ... 0.079 0.106 1.   ]
 ...
 [0.621 0.046 0.164 ... 0.144 0.018 1.   ]
 [0.171 0.153 0.396 ... 0.206 0.15  0.354]
 [0.217 0.131 0.547 ... 0.138 0.106 0.31 ]]"
11,b'Dissidents (The Search For Truth Part 1) (2009 Digital Remaster)',11.0,0.065,1.0,0.305,"[[0.71  0.476 1.    ... 0.516 0.475 0.556]
 [0.344 0.252 0.336 ... 0.953 0.38  0.439]
 [0.397 0.453 0.505 ... 0.47  0.412 0.533]
 ...
 [0.991 1.    0.183 ... 0.388 0.673 0.188]
 [0.995 1.    0.086 ... 0.517 0.795 0.101]
 [0.158 0.237 0.221 ... 0.754 0.617 0.345]]"
12,b'Yo Mouth (Skit)',3.0,0.545,0.0,0.528,"[[1.    0.783 0.056 ... 0.331 0.413 0.113]
 [0.762 0.794 0.585 ... 0.727 0.707 0.475]
 [0.874 0.276 0.036 ... 0.096 0.327 1.   ]
 ...
 [0.211 0.206 0.091 ... 1.    0.423 0.15 ]
 [0.886 0.063 0.087 ... 0.265 0.381 1.   ]
 [1.    0.948 0.554 ... 0.6   0.864 0.674]]"
13,b'Follow The Light (Radio Edit)',8.0,0.038,1.0,0.47700000000000004,"[[0.34  0.292 0.165 ... 0.413 0.297 0.033]
 [0.281 0.841 1.    ... 0.087 0.084 0.396]
 [0.714 1.    0.267 ... 0.221 0.061 0.09 ]
 ...
 [0.023 0.035 0.087 ... 0.066 0.042 0.064]
 [0.02  0.023 0.101 ... 0.04  0.041 0.036]
 [0.02  0.011 0.093 ... 0.018 0.036 0.021]]"
14,b'When Disaster Strikes (Explicit LP Version)',10.0,0.593,0.0,0.514,"[[1.    0.234 0.473 ... 0.402 0.296 0.442]
 [1.    0.264 0.463 ... 0.362 0.294 0.442]
 [0.708 1.    0.428 ... 0.646 0.799 0.851]
 ...
 [1.    0.065 0.029 ... 0.03  0.232 0.418]
 [1.    0.186 0.136 ... 0.135 0.327 0.303]
 [1.    0.11  0.106 ... 0.072 0.229 0.221]]"
15,b'The Big Stall',0.0,0.0,1.0,0.253,"[[0.771 0.542 0.724 ... 0.416 0.646 0.806]
 [0.466 0.18  0.159 ... 0.164 0.117 0.02 ]
 [0.522 0.465 0.87  ... 0.595 0.389 0.092]
 ...
 [0.414 0.424 0.187 ... 0.097 0.047 0.102]
 [0.124 0.103 0.576 ... 0.181 0.135 0.14 ]
 [0.011 0.009 0.083 ... 0.013 0.018 0.017]]"
16,b'Cosmic Forge (LP Version)',7.0,0.65,1.0,0.619,"[[0.238 0.242 0.114 ... 0.059 0.194 1.   ]
 [1.    0.425 0.125 ... 0.282 0.701 0.576]
 [1.    0.394 0.063 ... 0.298 0.621 0.565]
 ...
 [0.038 0.253 0.167 ... 0.033 0.054 0.051]
 [0.046 0.032 0.024 ... 0.03  0.074 1.   ]
 [0.008 0.009 0.007 ... 0.008 0.011 1.   ]]"
17,b'Bancate Ese Defecto',4.0,0.19399999999999998,0.0,0.48,"[[0.439 0.297 1.    ... 0.247 0.221 0.439]
 [0.085 0.159 0.489 ... 0.355 0.047 0.086]
 [0.115 0.252 0.378 ... 0.202 0.048 0.072]
 ...
 [0.194 0.358 0.318 ... 0.061 0.421 0.239]
 [0.385 0.583 0.504 ... 0.419 0.546 0.591]
 [0.434 0.589 0.526 ... 0.522 0.791 0.638]]"
18,b'Over And Over',7.0,0.20199999999999999,1.0,0.348,"[[0.71  1.    0.885 ... 0.329 0.315 0.438]
 [0.739 0.16  0.505 ... 0.089 0.097 1.   ]
 [0.423 0.516 0.727 ... 0.04  0.084 0.313]
 ...
 [1.    0.451 0.129 ... 0.41  0.978 0.07 ]
 [0.94  0.325 0.106 ... 0.344 1.    0.074]
 [0.264 0.214 0.654 ... 0.408 0.269 0.242]]"
19,b'Disposition (feat. Jest)',6.0,0.502,0.0,0.294,"[[0.849 0.99  0.795 ... 0.884 0.688 0.987]
 [0.285 0.236 0.196 ... 0.472 0.418 1.   ]
 [0.351 0.127 0.127 ... 0.164 0.27  1.   ]
 ...
 [0.803 0.634 0.236 ... 0.024 0.062 1.   ]
 [0.093 0.063 0.036 ... 0.998 0.512 0.006]
 [0.005 0.007 0.006 ... 0.244 0.049 0.018]]"
20,b'Juke It Down',7.0,0.042,1.0,0.22699999999999998,"[[0.676 0.091 0.018 ... 0.452 1.    0.008]
 [0.381 1.    0.137 ... 0.007 0.008 0.032]
 [0.01  0.009 0.008 ... 0.01  0.006 0.01 ]
 ...
 [0.855 1.    0.538 ... 0.265 0.24  0.208]
 [0.318 1.    0.085 ... 0.008 0.009 0.042]
 [0.029 0.019 0.025 ... 0.03  1.    0.971]]"
21,b'Todo A Pulm\xc3\xb3n',5.0,0.316,1.0,0.49,"[[0.229 0.18  0.168 ... 0.048 0.042 0.037]
 [0.071 0.136 0.126 ... 0.05  0.037 0.092]
 [0.439 0.052 0.027 ... 0.411 0.041 0.047]
 ...
 [0.568 0.057 0.018 ... 0.491 0.053 0.026]
 [0.613 0.068 0.028 ... 0.558 0.072 0.024]
 [0.471 0.075 0.023 ... 1.    0.115 0.028]]"
22,"b""Love N' Gold""",9.0,0.745,1.0,0.483,"[[1.    0.808 0.671 ... 0.713 0.581 0.632]
 [0.548 0.311 0.226 ... 0.076 0.148 0.633]
 [0.039 0.013 0.009 ... 0.003 0.007 0.526]
 ...
 [0.418 0.422 0.585 ... 0.855 0.493 0.405]
 [0.568 1.    0.191 ... 0.03  0.092 0.122]
 [0.945 1.    0.563 ... 0.068 0.16  0.323]]"
23,b'Get A Hold',10.0,0.0,0.0,0.0,"[[0.494 0.42  0.237 ... 0.175 0.318 0.298]
 [0.132 0.499 0.172 ... 0.242 0.285 0.093]
 [0.241 0.399 0.428 ... 0.134 0.126 0.087]
 ...
 [0.274 0.656 0.533 ... 0.311 0.515 0.243]
 [0.353 1.    0.734 ... 0.014 0.018 0.075]
 [0.839 1.    0.827 ... 0.324 0.293 0.636]]"
24,b'Army Of One',2.0,0.731,1.0,0.428,"[[1.    1.    1.    ... 1.    1.    1.   ]
 [0.048 0.065 1.    ... 0.364 0.034 0.031]
 [0.088 0.243 1.    ... 0.414 0.056 0.045]
 ...
 [0.06  0.371 1.    ... 0.748 0.17  0.214]
 [0.041 0.099 1.    ... 0.394 0.053 0.034]
 [0.155 0.156 1.    ... 0.592 0.164 0.219]]"
25,b'Simon',0.0,0.7659999999999999,1.0,0.688,"[[0.027 0.073 0.017 ... 0.026 0.041 0.029]
 [0.204 0.19  0.372 ... 0.135 0.111 0.321]
 [0.07  0.103 0.096 ... 0.035 0.071 0.087]
 ...
 [0.816 0.515 1.    ... 0.216 0.44  0.878]
 [1.    0.871 0.876 ... 0.258 0.177 0.74 ]
 [0.677 0.55  0.857 ... 0.348 0.562 1.   ]]"
26,b'Lullaby For The Summer',1.0,0.47700000000000004,1.0,0.52,"[[0.943 0.874 0.874 ... 0.639 0.668 0.76 ]
 [0.564 0.428 1.    ... 0.775 0.739 0.297]
 [1.    0.155 0.188 ... 0.201 0.235 0.291]
 ...
 [0.127 0.452 0.262 ... 0.316 0.902 0.112]
 [0.088 1.    0.122 ... 0.032 0.034 0.054]
 [0.143 1.    0.301 ... 0.112 0.215 0.126]]"
27,b'From Ivory Towers Above The Control Grid',0.0,0.49,0.0,0.183,"[[0.933 0.257 0.191 ... 0.413 1.    0.304]
 [1.    1.    0.114 ... 0.192 0.218 0.172]
 [0.9   1.    0.176 ... 0.151 0.14  0.151]
 ...
 [0.932 1.    0.841 ... 0.278 0.138 0.103]
 [0.333 0.47  0.621 ... 0.95  0.26  0.21 ]
 [0.095 0.088 0.794 ... 1.    0.217 0.064]]"
28,b'Where I Stood [Live]',9.0,0.706,1.0,0.669,"[[0.196 0.124 0.194 ... 0.126 0.147 1.   ]
 [0.123 0.143 0.185 ... 0.04  0.045 1.   ]
 [0.038 1.    0.192 ... 0.163 0.016 0.047]
 ...
 [0.884 0.885 1.    ... 0.756 0.787 0.887]
 [0.848 0.434 0.432 ... 0.576 1.    0.979]
 [0.885 0.912 0.902 ... 1.    0.988 0.952]]"
29,b'Grial II',0.0,0.73,0.0,0.6920000000000001,"[[1.    0.595 0.041 ... 0.186 0.42  0.281]
 [1.    0.008 0.012 ... 0.01  0.015 0.054]
 [0.277 0.308 0.133 ... 0.751 0.345 0.065]
 ...
 [0.896 1.    0.482 ... 0.679 0.615 0.283]
 [1.    0.349 0.201 ... 0.102 0.121 0.328]
 [0.413 0.616 0.45  ... 0.502 0.187 0.225]]"
30,b'The Question Is (Album Version)',9.0,0.634,1.0,0.473,"[[0.972 1.    0.41  ... 0.179 0.195 0.395]
 [0.195 0.158 0.156 ... 0.164 1.    0.903]
 [0.597 0.297 0.208 ... 0.228 0.165 1.   ]
 ...
 [0.142 1.    0.071 ... 0.584 0.264 0.692]
 [0.032 0.204 0.06  ... 0.429 0.124 0.246]
 [0.263 0.811 0.128 ... 0.685 0.149 1.   ]]"
31,b'Policias Y Ladrones',5.0,0.312,1.0,0.376,"[[0.169 0.58  0.213 ... 0.566 0.241 0.144]
 [0.314 0.951 0.271 ... 1.    0.482 0.444]
 [0.167 0.505 0.176 ... 1.    0.419 0.138]
 ...
 [0.327 0.427 0.595 ... 0.175 0.098 0.158]
 [0.382 1.    0.913 ... 0.346 0.27  0.344]
 [0.341 0.656 0.636 ... 0.2   0.175 0.202]]"
32,b'My Tribute (to God Be The Glory)',10.0,0.598,1.0,0.56,"[[0.297 0.488 1.    ... 0.783 0.37  0.221]
 [0.007 0.018 0.022 ... 0.024 1.    0.046]
 [1.    0.239 0.018 ... 0.06  0.31  0.214]
 ...
 [0.089 0.136 0.422 ... 0.343 1.    0.137]
 [0.029 0.012 0.016 ... 0.013 1.    0.051]
 [0.031 0.012 0.019 ... 0.021 1.    0.035]]"
33,b'Angeles',7.0,0.802,1.0,0.81,"[[0.745 0.085 0.07  ... 0.036 0.148 1.   ]
 [0.763 0.262 0.057 ... 0.533 1.    0.078]
 [0.267 0.115 0.075 ... 0.087 1.    0.304]
 ...
 [1.    0.021 0.023 ... 0.03  0.065 0.027]
 [1.    0.098 0.247 ... 0.249 0.159 0.123]
 [1.    0.356 0.503 ... 0.707 0.653 0.44 ]]"
34,b'Hot Rod Lincoln',11.0,0.6990000000000001,0.0,0.461,"[[0.681 1.    0.344 ... 0.349 0.329 0.39 ]
 [1.    0.412 0.431 ... 0.399 0.386 0.356]
 [1.    0.746 0.683 ... 0.585 0.527 0.356]
 ...
 [0.142 0.121 0.104 ... 0.126 0.134 0.147]
 [0.455 0.498 0.437 ... 0.552 0.429 0.337]
 [0.567 0.46  0.358 ... 1.    0.365 0.654]]"
35,b'M\xc3\xa9dium',5.0,0.775,1.0,0.594,"[[1.    0.544 0.393 ... 0.745 0.503 0.562]
 [0.284 0.263 0.078 ... 0.112 1.    0.095]
 [0.537 0.465 0.112 ... 1.    0.693 0.201]
 ...
 [1.    0.005 0.003 ... 0.002 0.003 0.016]
 [1.    0.29  0.166 ... 0.147 0.15  0.256]
 [0.742 0.368 0.31  ... 0.247 0.259 0.331]]"
36,b'But You Are',11.0,0.354,1.0,0.426,"[[0.868 0.774 0.805 ... 0.893 1.    0.877]
 [0.303 0.228 0.16  ... 0.334 0.245 0.242]
 [0.058 0.182 0.025 ... 0.07  0.065 1.   ]
 ...
 [0.579 0.78  0.82  ... 0.602 0.982 0.787]
 [0.462 0.159 0.054 ... 0.104 0.451 1.   ]
 [0.236 0.172 0.226 ... 0.45  1.    0.435]]"
37,b'Pretty Smiles & Shattered Teeth',10.0,0.32299999999999995,0.0,0.35100000000000003,"[[0.217 0.289 0.122 ... 0.187 0.08  0.261]
 [0.516 0.451 0.186 ... 0.417 0.185 0.384]
 [1.    0.619 0.298 ... 0.827 0.468 0.686]
 ...
 [0.716 0.635 0.622 ... 0.228 0.226 0.752]
 [0.221 0.331 0.566 ... 0.348 0.297 0.236]
 [0.351 0.427 0.888 ... 0.222 0.268 0.34 ]]"
38,b'English House',8.0,0.408,1.0,0.376,"[[1.    0.962 0.876 ... 0.714 0.667 0.499]
 [0.19  0.013 0.044 ... 0.035 0.109 0.019]
 [0.221 0.022 0.063 ... 0.005 0.038 0.013]
 ...
 [0.607 0.022 0.035 ... 0.023 0.373 0.038]
 [0.105 0.016 0.054 ... 0.022 0.357 0.023]
 [0.019 0.018 0.024 ... 0.008 0.118 0.033]]"
39,b'Never Tell',2.0,0.675,1.0,0.377,"[[1.    0.917 0.713 ... 0.424 0.45  0.641]
 [0.382 0.376 0.471 ... 0.504 0.637 0.588]
 [0.974 0.788 0.79  ... 0.473 0.679 0.931]
 ...
 [0.196 0.155 0.219 ... 0.332 0.278 0.392]
 [0.247 0.197 0.184 ... 0.287 0.184 1.   ]
 [0.039 0.22  0.038 ... 1.    0.084 0.081]]"
40,"b""Passin' Me By""",6.0,0.637,1.0,0.522,"[[1.    0.956 0.728 ... 0.705 0.75  0.562]
 [0.285 0.244 0.198 ... 1.    0.536 0.306]
 [1.    0.784 1.    ... 0.563 0.396 0.937]
 ...
 [0.526 0.482 0.537 ... 0.497 0.301 0.151]
 [0.979 0.676 0.283 ... 0.657 0.799 0.492]
 [0.455 0.317 0.283 ... 1.    0.959 0.571]]"
41,b'Chasing Monsters',4.0,0.5660000000000001,0.0,0.545,"[[0.655 0.829 0.884 ... 0.502 0.425 0.519]
 [0.028 0.097 0.051 ... 1.    0.064 0.077]
 [0.007 0.16  0.009 ... 0.131 0.026 0.012]
 ...
 [0.04  0.026 0.072 ... 0.166 0.195 1.   ]
 [0.058 0.024 0.021 ... 0.031 0.066 1.   ]
 [0.059 0.021 0.023 ... 0.033 0.065 1.   ]]"
42,b'SPONT.AN',7.0,0.335,1.0,0.37,"[[0.979 0.924 0.417 ... 0.998 0.943 0.047]
 [1.    0.457 0.303 ... 0.254 0.175 0.472]
 [1.    0.373 0.171 ... 0.089 0.046 0.063]
 ...
 [0.643 0.795 0.589 ... 0.228 0.308 0.34 ]
 [1.    0.711 0.784 ... 0.435 0.467 0.475]
 [0.406 0.241 0.175 ... 0.269 0.196 0.145]]"
43,b'Night Beat',2.0,0.324,0.0,0.5589999999999999,"[[0.129 0.147 0.193 ... 0.176 0.586 0.539]
 [0.192 0.107 0.449 ... 0.612 0.108 0.129]
 [0.683 0.262 0.101 ... 0.038 0.129 1.   ]
 ...
 [0.008 0.014 0.042 ... 1.    0.041 0.015]
 [0.006 0.007 0.015 ... 0.31  0.025 0.013]
 [0.112 0.15  0.148 ... 0.434 1.    0.106]]"
44,b'Mari Mouri (Mary Has Died)',0.0,0.6970000000000001,0.0,0.765,"[[1.    0.742 0.666 ... 0.394 0.394 0.591]
 [1.    0.223 0.077 ... 0.051 0.085 0.397]
 [1.    0.011 0.022 ... 0.007 0.009 0.019]
 ...
 [1.    0.015 0.03  ... 0.009 0.025 0.027]
 [1.    0.053 0.019 ... 0.008 0.02  0.202]
 [1.    0.019 0.015 ... 0.014 0.033 0.028]]"
45,b'Pub Pusher',5.0,0.5720000000000001,1.0,0.574,"[[1.    1.    1.    ... 1.    1.    1.   ]
 [0.253 0.141 0.08  ... 0.063 0.065 0.13 ]
 [0.36  0.234 0.156 ... 0.109 0.133 0.192]
 ...
 [1.    0.041 0.044 ... 0.029 0.047 0.174]
 [1.    0.083 0.037 ... 0.031 0.052 0.204]
 [1.    0.041 0.029 ... 0.016 0.031 0.058]]"
46,b'Best Friend',11.0,0.49700000000000005,1.0,0.363,"[[0.953 1.    0.331 ... 0.248 0.267 0.371]
 [0.021 0.045 0.043 ... 0.023 0.072 0.02 ]
 [0.018 0.029 0.015 ... 0.013 0.016 0.028]
 ...
 [0.482 0.126 0.129 ... 0.2   0.205 0.235]
 [0.115 0.052 0.102 ... 0.1   0.038 0.048]
 [0.9   0.262 0.384 ... 0.387 0.341 0.342]]"
47,b'Eric',1.0,0.235,1.0,0.254,"[[1.    0.938 0.88  ... 0.697 0.57  0.544]
 [0.599 0.575 0.522 ... 1.    0.902 0.758]
 [1.    0.533 0.33  ... 0.23  0.532 0.307]
 ...
 [0.064 0.034 0.035 ... 0.068 0.09  0.042]
 [0.037 0.009 0.007 ... 0.017 0.022 0.007]
 [0.032 0.005 0.003 ... 0.005 0.006 0.003]]"
48,b'Sellotape Flowers',1.0,0.013999999999999999,1.0,0.309,"[[0.82  0.64  0.833 ... 0.777 0.869 1.   ]
 [0.998 0.928 0.552 ... 0.365 0.597 1.   ]
 [0.094 0.266 0.079 ... 0.103 0.5   0.364]
 ...
 [0.308 0.407 0.18  ... 0.282 0.35  0.354]
 [0.509 0.455 0.79  ... 1.    0.685 0.506]
 [0.661 0.333 0.362 ... 0.249 0.421 0.25 ]]"
